Designator,Footprint,Quantity,Value,LCSC Part #
"A1, B1, BCLK1, D0, D1, D2, D3, DET1, GND1, LRCK1, POWER_D1, POWER_S1, RX1, SDAT1, START1, TX1, VDD1, X1, X2, X3, X4, Y1, Y2, Y3, Y4",TH_YZ105312061P-01,25,YZ105312061P-01,C5157237
FPC1,FPC-SMD_24P-P0.50_FPC-05F-24PH20,1,FPC-05F-24PH20,C2856805
SW1,SW-SMD_L3.9-W3.0-P4.45,1,TS-1088-AR02016,C720477
